Time (ms);Toe;MTP;Heel;Ankle;Knee;Hip
12930;1,67673650275136;1,59173775412541;1,442725761424;1,45252755571006;1,31945056242695;1,20257686976877
12946;1,69112304080757;1,60915315761667;1,46074296047095;1,47066840762886;1,3358918965832;1,22166531291904
12963;1,6976498235063;1,61861977529599;1,46996248864382;1,48084763144114;1,35359429772108;1,24090447667879
12980;1,69890884898488;1,62208722409746;1,4724189768209;1,48491278072916;1,37160009136461;1,26042599409246
12996;1,69822069724092;1,62217856290455;1,47120369094444;1,48582664269889;1,388853226507;1,28043824626792
13013;1,69832263699688;1,6214490314919;1,4695191897003;1,48670489130055;1,40467771953554;1,30096184847316
13030;1,70004401630361;1,62140501583354;1,46912064550121;1,48920783352142;1,41922299164634;1,32173190006777
13046;1,70254714395832;1,62226482776277;1,46991126342978;1,49293854944812;1,43328883667024;1,34238937538459
13063;1,7048287539018;1,62359258081078;1,47109797498531;1,49658062222752;1,44759680311469;1,3626340506524
13080;1,7066608775207;1,62494531035121;1,47223445302016;1,49936793835519;1,46211351422101;1,3822263003257
13096;1,70823293583048;1,6260166091365;1,47316142850543;1,50133665189605;1,47607403547704;1,40106441566435
13113;1,70947959708109;1,62662704574376;1,47368634103677;1,50264476241106;1,48860317712277;1,41924423377347
13130;1,7101596155035;1,62681582056236;1,47365425518205;1,50330815381955;1,49923218727426;1,43692169667403
13146;1,7103052571401;1,62679574279545;1,47309651400843;1,50348333766113;1,50808998079807;1,45419237509913
13163;1,7101962141878;1,62674992494868;1,47223702297401;1,50352136755507;1,51582382975121;1,47114419689534
13180;1,71005683701219;1,62674745366713;1,47131835383298;1,50376892667784;1,52318414227139;1,48787560698939
13197;1,7099619071665;1,62679112882921;1,47042247900645;1,50437601597244;1,53052379128577;1,50446078566747
13213;1,70990673690973;1,62686488220658;1,46961249412428;1,50515736109043;1,53763706025503;1,52091620421675
13230;1,70987080859407;1,62695311012907;1,46905673458394;1,50575155146992;1,54406434019214;1,53689926359227
13247;1,7098407388431;1,62704635199439;1,46883051433773;1,50599864370601;1,54955112313824;1,55167063214937
13263;1,70981323374775;1,62714122425005;1,46882282604501;1,50601197652917;1,55426463071843;1,56490695063054
13280;1,7097903799299;1,62723511909893;1,46888773412807;1,50595014009101;1,55865077632156;1,57704077624971
13297;1,70977017882376;1,6273196316538;1,46894902578614;1,50588923501705;1,56308834523846;1,58863031183
13313;1,709739917976;1,62738261772832;1,46899272696044;1,50586154543167;1,5677138186724;1,60014505586531
13330;1,70968714731391;1,62743274799143;1,46903084504078;1,50593601165836;1,57253920810401;1,61203024326337
13347;1,70964080421011;1,62754763039867;1,46907467158681;1,50625001393977;1,57758839121834;1,62439321840261
13363;1,70972393756041;1,62789397760993;1,46912735099748;1,50688245622411;1,58287056182182;1,63698447482829
13380;1,7101348339424;1,62858233483761;1,46918730054367;1,50765018482283;1,58829979888978;1,64956612540719
13397;1,71089517097362;1,62942725467308;1,46925154790016;1,50820577437808;1,59381400280235;1,6620917726683
13413;1,71160685983121;1,63005148158479;1,46931655107246;1,50839553629153;1,59958741341291;1,6747109195965
13430;1,71183487771813;1,63029256685218;1,46937805425706;1,50835293474345;1,60595608815945;1,68763495087164
13447;1,7116109511386;1,63028827626077;1,46943581691753;1,50831680605064;1,613202603854;1,70090959912075
13463;1,71113803445674;1,63022069447553;1,46951207727605;1,50852551882181;1,62149516931359;1,7144777471882
13480;1,71043160986798;1,63016636320547;1,46967792361802;1,50914231456771;1,63077463383294;1,72834849730949
13497;1,70959959300295;1,63012321369617;1,47004949014061;1,51013180144957;1,64049493930847;1,74250214050657
13514;1,70897160421244;1,63008772497638;1,47067640543833;1,51131315600131;1,64947759276934;1,75680914679134
13530;1,70878039149552;1,63013301324671;1,47140079149341;1,5125843585351;1,65613404616935;1,77113300001978
13547;1,70905559818757;1,63043184930931;1,47199210998921;1,51402677003694;1,65967423427736;1,78542823180313
13564;1,70973090292486;1,63109597979704;1,47246928577717;1,51576977522108;1,6618976757815;1,79977742160194
13580;1,71060066643435;1,63191174910605;1,47307824098679;1,51778693757271;1,66663501097275;1,81440261830644
13597;1,71142657075723;1,63241701038101;1,47397819350037;1,5199572439579;1,67634828500614;1,82958456551028
13614;1,71217732126238;1,6323342385067;1,47519431431125;1,52238366640583;1,69000990149946;1,8454536165137
13630;1,71292756610712;1,63187134785956;1,47682134389952;1,52556771094157;1,70398855357059;1,86186642820194
13647;1,71377045936433;1,63167770179608;1,47915740707379;1,53022747850251;1,71403096311738;1,87855054579462
13664;1,71513416940691;1,6323900549141;1,48274481994189;1,53698864859838;1,7179451127556;1,89533438555835
13680;1,71769058380348;1,63422448312214;1,48830578454034;1,54633526759803;1,71857303936912;1,91223805363895
13697;1,72134802807347;1,63729639055214;1,49668952326977;1,55879877373166;1,72299566690013;1,92941273807145
13714;1,72511849860837;1,64211305227377;1,50888687571164;1,57504909843283;1,73709694966864;1,94693873225413
13730;1,72870819128179;1,64949374101983;1,52581804906214;1,59575021985489;1,76233422687814;1,96456178541098
13747;1,73310680437281;1,66013158590277;1,54790179432775;1,62118630630205;1,79737406972921;1,9817572954119
13764;1,73925757779269;1,67401756641086;1,57461258231759;1,65079542809035;1,83971067960756;1,99828896967939
13780;1,74687901536221;1,68998950596234;1,6041498348111;1,68290848305382;1,88590425617751;2,01451684393592
13797;;;;;;2,03082566242469
13814;;;;;;2,04694098898624
13830;;;;;;2,06214887426885
13847;;;;;;2,07607175141249
13864;;;;;;2,08908014835747
